CountryCode,Reference area,Measure,Water type,Unit of measure,Year,Value,Observation status,Unit multiplier
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1994,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1993,100.0,Normal value,Millions
AUT,Austria,Agriculture freshwater abstraction,Ground water,Cubic metres,1992,100.0,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2013,4896.517,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2012,5367.784,Normal value,Millions
BEL,Belgium,Total freshwater abstraction,Total,Cubic metres,2011,5387.128,Normal value,Millions
BEL,Belgium,Irrigable area,Not applicable,Hectares,2003,21810.0,Normal value,Units
BEL,Belgium,Irrigation area,Not applicable,Hectares,2003,1850.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,2000,32590.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,1997,35110.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,1995,21950.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,1993,20870.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,1990,17880.0,Normal value,Units
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,1994,0.0,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,2019,44.123,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,2018,46.285,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,2017,40.19,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,2016,36.211,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,1999,27.3,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,1998,14.4,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,1997,12.4,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,1996,11.1,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,1995,9.2,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Ground water,Cubic metres,1994,10.0,Normal value,Millions
BEL,Belgium,Irrigable area,Not applicable,Hectares,2013,19180.0,Normal value,Units
BEL,Belgium,Irrigation area,Not applicable,Hectares,2013,5740.0,Normal value,Units
BEL,Belgium,Irrigation area,Not applicable,Hectares,2010,4260.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,2010,13560.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,2007,23350.0,Normal value,Units
BEL,Belgium,Irrigation area,Not applicable,Hectares,2007,5680.0,Normal value,Units
BEL,Belgium,Irrigable area,Not applicable,Hectares,2005,21710.0,Normal value,Units
BEL,Belgium,Irrigation area,Not applicable,Hectares,2005,3380.0,Normal value,Units
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2009,41.056,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2008,39.087,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2007,38.008,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2006,34.662,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2005,33.357,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2004,34.22,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2003,37.229,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2002,35.556,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2001,36.239,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,2000,35.265,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,1999,30.8,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,1998,17.8,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,1997,15.8,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,1996,14.8,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,1995,12.5,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Total,Cubic metres,1994,10.0,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2020,8.271,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2019,7.086,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2018,8.171,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2017,5.53,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2016,4.661,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2011,4.343,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2010,3.576,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2009,3.508,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2008,3.453,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2007,3.37,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2006,3.415,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2005,3.406,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2004,3.305,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2003,3.434,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2002,3.308,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2001,3.377,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,2000,3.263,Normal value,Millions
BEL,Belgium,Agriculture freshwater abstraction,Surface water,Cubic metres,1999,3.5,Normal value,Millions
